教科,問題,答え,不正解1,不正解2,不正解3
3,implication,意味あい、暗示するもの,卒業,傾向、流行,態度
3,devise,考案する,騙す,磨く,伝える
3,distinct,明確な、独特な,恥ずかしがり屋な,失礼な,便利な
3,retain,記憶する、維持する,相続する、受け継ぐ,祝福する,奪う
3,criterion,基準,手段、方法,証拠、根拠,課題
3,consistent,一貫した、堅実な,不真面目な,十分な,意識的な
3,assert,断言する、主張する,気にする,隠す,惚気る
3,prompt,促す、刺激する,後退する,隠す,別れる
3,relevant,関連した,驚くべき、見事な,魅惑的な,注目すべき
3,liberal,寛大な、自由な,創造的な,信じがたい,全体的な
3,multiple,多数の、多様な,少数の,感情的な,安定した
3,access,利用,美容,薬用,作用
3,commission,手数料、歩合,証拠、根拠,有利,装置、手段
3,consequently,その結果として,道徳的な,初めの,知的な
3,absolute,絶対的な、完全な,少数の,論理的な,多数の
3,radical,根本的な、過激な,空白の,知的な,安定した
3,controversial,議論を呼ぶ,創造する,隠す,始める
3,racial,人種の、民族の,最悪の,田舎の,人工的な
3,federal,連邦、連邦の,人工的な,自然の,空白の
3,initial,最初の,理にかなった,注目すべき,重要な
3,inevitable,避けられない、必然的な,最悪の,魅惑的な,初めの
3,stable,安定した,論理的な,家庭の,初めの
3,wisdom,知恵,細部,理論,進歩、進展
3,restore,修復する,壊す,出店する,戻る
3,equivalent,同等のもの、相当するもの,全体的な,国内の,最低な
3,according to,～によると,〜に追いつく,〜に感謝する,〜を調べると
3,such as,例えば～など,それほど〜,要するに〜,つくづく〜する
3,in order to,～するために,〜をやめる,〜を信じる,〜を我慢する
3,as well as,～だけでなく～も,しばらく,時々,〜することが好きだ
3,take care of,世話をする、面倒を見る,経験する,手を借りる,仲良くする
3,at last,少なくとも,時々,およそ,無駄に
3,before long,まもなく,ほとんど,結局,時々
3,look into,〜を調査する,〜を見下す,〜を尊敬する,〜を眺める
3,look down on,〜を見下す,〜を尊敬する,〜を調査する,〜を見定める
3,look up to,〜を尊敬する,〜を見下す,〜を調査する,〜を見定める
3,keep off,〜に立ち入らない,〜に送る,〜に効く,〜に役立つ
3,keep up,〜を続ける,〜をやめる,〜をばら撒く,〜を願う
3,feel like doing,〜したい気がする,〜だと決めつける,〜することを達成する,〜することが好きだ
3,stay up,夜更かしする、起きている,〜に泊まる,〜に感謝する,〜に昇格する
3,put off,〜を延期する,〜を脱ぐ,〜をばら撒く,〜を投げる
3,put on,〜を着る、身につける,〜のそばに置く,〜を延期する,〜を我慢する
3,put up with,〜を我慢する,〜をやめる,〜を続ける,〜と一緒に置く
3,so far,今のところ,はるか遠く,要するに,内密に
3,right away,すぐに,右へ,確かに,現在は
3,in short,要するに,中へ,半分に,徐々に
3,eat out,外食する,吐く,配膳する,除外する
3,carry on,〜を続ける,〜をやめる,〜を達成する,〜を敬う
3,carry out,〜を実施する、実行する,〜を続ける,〜を投げ出す,〜を廃止する
3,make fun of,〜をからかう,〜を楽しませる,〜を提出する,〜を描く
3,on the spot,直ちに、その場で,後で,間合いをとる,内密に
3,layer,層,仲間,自発性、主導権,虐待
3,conflict,対立、紛争,緊張,自発性、主導権,機能
3,landscape,風景,寸法,計画,美徳
3,evolution,進化,革命,感覚,尊敬
3,affair,情勢、情事,軽食,稼ぎ,特典
3,imitate,模倣する、真似する,熱中する,相続する、受け継ぐ,絞る
3,emphasize,強調する,頼る,絞る,爆発する
3,evaluate,評価する、見積もる,告発する,奢る,行動する
3,scatter,ばら撒く、撒き散らす,奪う,感謝する,謝る
3,"Blinken met with Raab on Monday and said regarding China the goal is not to “try to contain China or to hold China down.” “What we are trying to do is to uphold the international rules-based order that our countries have invested so much in over so many decades to the benefit, I would argue not just of our own citizens, but of people around the world including, by the way, China,” Blinken told reporters. 

Q.ブリンケン氏がやろうとしていることは何か？",国が多くの投資をしてきた国際的なルールに基づく秩序を支持すること,中国を封じ込めようとしたり、中国を抑圧したりすること,中国との貿易を盛んにし、中国と良好な関係を築くこと,世界中の人々と議論し、色々な国を豊かにしていくこと
3,"Raab said the United States and Britain are also looking for constructive ways to work with China “in a sensible and positive manner” on issues including climate change when possible.
U.S. President Joe Biden has identified competition with China as his administration's greatest foreign policy challenge. In his first speech to Congress last week, he pledged to maintain a strong U.S. military presence in the Indo-Pacific and boost U.S. technological development.

Q.米国と英国は何について中国と協力する方法を探しているか？",気候変動,米国の技術開発,インドとの今後の関係,人工衛星開発
3,"Raab said Britain and the United States “share the strategic paradigm,” and both countries will support each other’s efforts.
On Friday, the Biden administration announced it completed the review of North Korean policy, expressing openness to talks with the reclusive communist nation. Biden is also expected to appoint a special envoy for North Korean human rights issues.
North Korea lashed out at the United States and its allies on Sunday in a series of statements, saying recent comments from Washington are proof of a hostile policy. 

Q.バイデン政権が発表したことは何か？",北朝鮮の政策の見直しの完了,北朝鮮との貿易開始,北朝鮮がミサイルを発射したこと,北朝鮮の人権問題の解決
3,"Facebook’s quasi-independent Oversight Board is set to announce Wednesday whether the social media company was correct to indefinitely prohibit former U.S. President Donald Trump from posting to his Facebook and Instagram accounts.
The board is made up of 20 members, including legal scholars, human rights experts and journalists. A panel of five members prepares a decision, which must be approved by a majority of the full board, and which Facebook is then required to implement unless the action could violate the law.
The board says its mission is to “answer some of the most difficult questions around freedom of expression online: what to take down, what to leave up, and why.”

Q.FaceBookの監督委員会は何について発表する予定か？",トランプ前大統領のFaceBookとInstagramの投稿の禁止が正しいかどうか,理事会が20人のメンバーで構成されること,オンラインでの誹謗・中傷を行った者へのペナルティ,表現の自由に関する意見
